EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,
5561828,METROPOLITAN MIAMI-DADE (ZONE), ,7/10/96,900,Hurricane (Typhoon), , ,2,0,0,0,FL,EST, ,2039217,Z,74,MFL,0,0, , , , , , , , , ,7/13/96,1600, , , , ,,,1,,,,
5591849,MIAMI-DADE CO.,KENDELL DR AREA,4/26/97,1600,Flash Flood, , ,0,0,0,0,FL,EST, ,2061390,C,86,MFL,0,0, , , , , , , , ,KENDELL DR AREA,4/26/97,2200, , , , ,,"SLOW MOVING HP SUPERCELL OVER KENDALL AREA OF DADE COUNTY
FROM 1500 PM TO 1845 PM. BY 1600 PM THREE INCHES OF RAIN
FELL OVER AREA NEAR KENDALL DR AND DON SHULA EXPRESSWAY. 
BY 1845 PM APPROX TWELVE INCHES OF RAIN HAD FALLEN OVER THIS 
AREAS WITH WIDESPREAD AREAS OF 5 TO 10 INCHES OF RAIN.
DAMAGE UNKNOWN. CANALS OVERFLOWED. WATER LEVELS ENTERED
BUILDINGS AND NUMEROUS STALLED VEHICLES IN WATER.",2,,,,
5626995,COASTAL DADE (ZONE), ,6/9/97,800,Flood, , ,0,0,0,0,FL,EST, ,2071455,Z,74,MFL,0,0, , , , , , , , , ,6/10/97,800, , , , ,,"most of eastern dade county experienced flooding on the evening of june 9 as well as overninght and through the day june 10. official 24 hour rainfall amounts ending 0700 am est june 10 were:
homestead general airport      9.17 inches
tamiami airport                        8.35
miami international airport      5.97
miami beach                            4.22
north dade                                3.92

unofficial reports include:
southern homestead               16.36          (from sfwmd)
cutler ridge                                13.50
south miami                              10.00
saga bay                                      9.86
sunniland                                      9.55
kendall                                           9.00 
country walk                                  8.69
westchester                                  8.15
miami beach                                7.75

flood reports by 1200 am june 10:

12051 sw 208 ter...ankle deep water in house
8391 nw 7 st...one to three inches of water in first floor townhouse
between 107 ct/112 ave on kendall dr...under water
betwen 152 st/158 st on sw 144 ave...under water
between 122 ave/127 ave on sw 112 st...flooded
sw 187 st/87 ave...water to headlights
between sw 128 st/136 st on 92 ave...flooding
between 40 st/49 st on sw 67 ave...flooding
74 st/sw 59 ave...impassable
kendall dr/sw 87 ave...two feet of water
roads and area north of rickenbacker causeway and area ne of harbor/crandon...flooded
between 94 ave/97 ave on sw 136st...several feet of water
between sw 87 ave/83 ave and between 83 st/88 st...flooding
kings creek between 79 ave/87 ave on sw 79 st...flooded
sw117 ave/211 st...many people trapped in floating cars
e of coral way/sw 87 ave...flooded
canal at us1/sw 160 st...overflowed with several cars stuck
between 152 st/184 st on sw 117 ave...impassable
between 88 ave/97 ave on sw 136 st...flooded

by 0400 am june 10:

between 261 st/268 st and sw 122 ave/sw 127 ave...waist deep water
between sw 152 ave/sw 157 ave on 304 st...waist deep water
between 105 st/120 st on sw 122 ave...waist deep water
299 st/sw 152 ave...waist deep water",3,,,,
5627067,COASTAL DADE (ZONE), ,6/14/97,1815,Flood, , ,0,0,0,0,FL,EST, ,1050315,Z,74,MFL,0,0, , , , , , , , , ,6/14/97,1930, , , , ,near us1 and bird road in south miami three inches of rain fell in about one and one half hours resulting in street flooding up to two fet deep.,,4,,,,
5619095,MIAMI-DADE CO.,SURFSIDE,8/21/97,1300,Flood, , ,0,0,0,0,FL,EST, ,2069274,C,86,MFL,0,0, , , , , , , , ,SURFSIDE,8/21/97,1300, , , , ,pd reported cars stalling in major street flooding.,,5,,,,
5667595,MIAMI-DADE CO.,FLORIDA CITY,9/16/98,1700,Flash Flood, , ,0,0,0,0,FL,EST, ,2149949,C,86,MFL,0,0,NEWSPAPER, , , , , , , ,FLORIDA CITY,9/17/98,500, , , , ,The ground was well saturated from previous days rain. Radar rainfall estimated amounts ranging from 4 to 8 inches. Homestead Airforce Base recorded 4.75 inches. At least eight homes were flooded with about 6 inches of water. Widespread street flooding was also reported.,,6,,,,
5672864,COASTAL DADE (ZONE), ,9/25/98,0,Hurricane (Typhoon), , ,0,0,5000000,15000000,FL,EST, ,2149954,Z,74,MFL,0,0,EMERGENCY MANAGER, , , , , , , , ,9/25/98,1300, , , , ,"100,000 people evacuated.","Spiral bands associated with Hurricane Georges moved north over south Florida on the evening of Thursday September 24 1998. The convective activity embedded in the spiral bands was moving to the southwest near 45 knots. Hurricane Georges moved off the coast of central Cuba on the morning of Friday September 25 1998. Georges moved northwest over the Straits of Florida. The eye passed over Key West at mile marker 1 of US-1 between 1100 AM EST and 1230 PM EST.  The greastest damage from wind and storm surge flooding occurred in the lower Keys from Cudjoe Key, mile marker 21, to Big Pine Key, mile marker 31. NWS personnel estimated 105-110 knot wind gusts from the south and southeast in this area with sustained winds near 90 knots.  As the north side of the eye wall passed over Key West, the highest sustained winds were 58 knots with gusts to 76 knots from the east and northeast. The Key West ASOS lost power at that time. Georges continued to move northwest over the Gulf of Mexico. The southwest coast of Florida experienced widespread beach erosion from the storm surge.",7,,,,
5702074,MIAMI-DADE CO.,NORTHEAST PORTION,6/8/99,800,Flash Flood, , ,0,0,50000,0,FL,EST, ,2408842,C,86,MFL,0,0,NEWSPAPER, , , , , , , ,NORTHEAST PORTION,6/8/99,2300, , , , ,,"Excessive rains caused localized heavy flooding from Boca Raton to Miami Beach.  The greatest official 24-hour rainfall was 13.75 inches at Pompano Beach with over 7 inches reported at Boca Raton and Miami Shores.  Numerous streets were flooded and several vehicles became submerged in parking lots with their occupants having to be rescued.  Three Broward mobile homes had to be evacuated, several roofs collapsed and numerous dwellings had flood waters inside.",8,,,,
5716202,COASTAL DADE (ZONE), ,9/13/99,1200,Hurricane (Typhoon), , ,0,0,0,0,FL,EST, ,2412137,Z,74,MFL,0,0,NEWSPAPER, , , , , , , , ,9/14/99,2300, , , , ,,"Large and powerful hurricane Floyd, approached the southeast Florida coast on September 13 and moved north of the area by September 15.  Southeast Florida remained on the weak"" side of Floyd with minimal effects", mostly to marine interests.  Total damage from Floyd in south Florida is estimated at $100 thousand, most of which was in Palm Beach county.  This figure does not include preparation costs which were estimated to have been near $3 million in Palm Beach County alone.  ,,,
5716957,COASTAL DADE (ZONE), ,10/14/99,700,Hurricane (Typhoon), , ,0,0,140000000,230000000,FL,EST, ,2411770,Z,74,MFL,0,0,NEWSPAPER, , , , , , , , ,10/15/99,2200, , , , ,,"After lingering as a broad area of low pressure in the western Caribbean Sea for four days, a tropical depression formed just after midnight EDT on October 13 and became tropical storm Irene in the northwest Caribbean Sea later that morning.  Irene moved north across western Cuba on October 14 and strengthened to hurricane intensity early on October 15 in the Straits of Florida.  It then made its first landfall in south Florida in the lower Florida Keys around 9 AM EDT, October 15.  After crossing Florida Bay the center of Irene made landfall on the peninsula near Cape Sable around 4 PM EDT, October 15 as a Category One intensity hurricane.  It moved northeast across central Miami-Dade and Broward counties before exiting into the Atlantic just after midnight EDT on October 16 near Jupiter in northeast Palm Beach County.

Heavy rains and sustained winds of tropical storm force caused widespread flooding and power outages in the metropolitan areas of Miami-Dade, Broward and Palm Beach counties.  The effects were similar, although somewhat more widespread, than those experienced in tropical storm Gordon in November 1994 and were reminiscent of the wet hurricanes in the 1930s and 1940s.

Rainfall totals in southeast Florida ranged from 6 to 17 inches with many areas getting 10 to 15 inches.  The greatest reliable amount reported was 17.45 inches at Boynton Beach.  The highest sustained wind over land was 60 mph at Miami Beach with many readings from 40 to 55 mph.  Fowey Rocks Light reported sustained winds of 66 mph while the Miami NWS doppler radar estimated areas of sustained hurricane force winds in the Atlantic Ocean just off the southeast Florida coast.  Among the highest recorded gusts were readings of 93 mph near Belle Glade, 85 mph at Homestead Air Reserve Base, 84 mph at Fowey Rocks Light, 74 mph at Turkey Point nuclear power plant and 70 mph at Miami International Airport.  The lowest barometric pressure on the south Florida peninsula was 989.9 mb at Opa Locka Airport.  Storm surge and beach erosion were minimal.

Four tornadoes touched down in Broward and Palm Beach counties, injuring 3 persons.  Several other areas of localized wind damage were reported, especially near the southeast shore of Lake Okeechobee, and were likely attributable to convective downbursts.

There were no direct deaths from Irene, but eight persons died in the aftermath.  Five persons were electrocuted by downed power lines, including three persons from one family.  Three other persons drowned in vehicle-related accidents.  Damage in southeast Florida, mainly from flooding is estimated near $600 million which includes $335 million in agricultural losses.  An estimated 700,000 customers lost electricity.  Flooding in a few residential areas lasted for a week displacing several hundred persons and isolating thousands more.

Other long-term ecological repercussions may be experienced from the flooding rains such as the effects of high water on Everglade's hammocks, and the effects of excessive fresh-water runoff on estuaries.",10,,,,
