Year,Month,Monthly_MSL,Linear_Trend,High_Conf.,Low_Conf.
1996,1,0.019,0.024,0.031,0.017
1996,2,-0.05,0.024,0.031,0.017
1996,3,-0.048,0.025,0.032,0.018
1996,4,0.014,0.025,0.032,0.018
1996,5,-0.047,0.025,0.032,0.018
1996,6,-0.065,0.025,0.032,0.018
1996,7,-0.027,0.026,0.033,0.019
1996,8,-0.046,0.026,0.033,0.019
1996,9,-0.074,0.026,0.033,0.019
1996,10,-0.023,0.026,0.033,0.019
1996,11,0.027,0.027,0.034,0.02
1996,12,-0.012,0.027,0.034,0.02
1997,1,0.019,0.027,0.034,0.02
1997,2,0.024,0.028,0.035,0.02
1997,3,0.029,0.028,0.035,0.021
1997,4,0.082,0.028,0.035,0.021
1997,5,0.008,0.028,0.035,0.021
1997,6,0.061,0.029,0.036,0.021
1997,7,0.029,0.029,0.036,0.022
1997,8,0.03,0.029,0.036,0.022
1997,9,-0.015,0.029,0.037,0.022
1997,10,-0.078,0.03,0.037,0.023
1997,11,-0.193,0.03,0.037,0.023
1997,12,-0.058,0.03,0.037,0.023
1998,1,-0.002,0.03,0.038,0.023
1998,2,0.076,0.031,0.038,0.024
1998,3,0.035,0.031,0.038,0.024
1998,4,-0.02,0.031,0.038,0.024
1998,5,-0.014,0.032,0.039,0.024
1998,6,-0.031,0.032,0.039,0.025
1998,7,-0.008,0.032,0.039,0.025
1998,8,0.012,0.032,0.04,0.025
1998,9,-0.031,0.033,0.04,0.025
1998,10,-0.093,0.033,0.04,0.026
1998,11,-0.107,0.033,0.04,0.026
1998,12,-0.032,0.033,0.041,0.026
1999,1,0.039,0.034,0.041,0.026
1999,2,0.115,0.034,0.041,0.027
1999,3,0.025,0.034,0.041,0.027
1999,4,0.036,0.034,0.042,0.027
1999,5,0.051,0.035,0.042,0.027
1999,6,0.04,0.035,0.042,0.028
1999,7,0.042,0.035,0.043,0.028
1999,8,0.054,0.036,0.043,0.028
1999,9,0.143,0.036,0.043,0.028
1999,10,0.048,0.036,0.043,0.029
1999,11,0.044,0.036,0.044,0.029
1999,12,0.032,0.037,0.044,0.029
2000,1,0.029,0.037,0.044,0.029
2000,2,0.015,0.037,0.045,0.03
2000,3,0.023,0.037,0.045,0.03
2000,4,0.02,0.038,0.045,0.03
2000,5,-0.019,0.038,0.045,0.03
2000,6,0.045,0.038,0.046,0.031
2000,7,0.117,0.038,0.046,0.031
2000,8,0.069,0.039,0.046,0.031
2000,9,0.056,0.039,0.046,0.031
2000,10,0.079,0.039,0.047,0.032
2000,11,0.006,0.039,0.047,0.032
2000,12,0.031,0.04,0.047,0.032
2001,1,-0.029,0.04,0.048,0.032
2001,2,-0.059,0.04,0.048,0.033
2001,3,-0.017,0.041,0.048,0.033
2001,4,-0.029,0.041,0.048,0.033
2001,5,0.062,0.041,0.049,0.033
2001,6,-0.061,0.041,0.049,0.034
2001,7,0.003,0.042,0.049,0.034
2001,8,-0.013,0.042,0.05,0.034
2001,9,-0.01,0.042,0.05,0.035
2001,10,0.04,0.042,0.05,0.035
2001,11,0.075,0.043,0.05,0.035
2001,12,0.046,0.043,0.051,0.035
2002,1,-0.073,0.043,0.051,0.036
2002,2,0.046,0.043,0.051,0.036
2002,3,-0.005,0.044,0.051,0.036
2002,4,0.028,0.044,0.052,0.036
2002,5,0.026,0.044,0.052,0.037
2002,6,0.087,0.045,0.052,0.037
2002,7,0.022,0.045,0.053,0.037
2002,8,0.096,0.045,0.053,0.037
2002,9,0.056,0.045,0.053,0.038
2002,10,0.021,0.046,0.053,0.038
2002,11,-0.061,0.046,0.054,0.038
2002,12,-0.013,0.046,0.054,0.038
2003,1,-0.038,0.046,0.054,0.039
2003,2,-0.083,0.047,0.055,0.039
2003,3,0.014,0.047,0.055,0.039
2003,4,0.083,0.047,0.055,0.039
2003,5,-0.01,0.047,0.055,0.04
2003,6,-0.036,0.048,0.056,0.04
2003,7,-0.017,0.048,0.056,0.04
2003,8,0.013,0.048,0.056,0.04
2003,9,0.008,0.049,0.056,0.041
2003,10,-0.016,0.049,0.057,0.041
2003,11,0.028,0.049,0.057,0.041
2003,12,0.004,0.049,0.057,0.041
2004,1,0.017,0.05,0.058,0.042
2004,2,0.036,0.05,0.058,0.042
2004,3,0.051,0.05,0.058,0.042
2004,4,0.005,0.05,0.058,0.042
2004,5,-0.03,0.051,0.059,0.043
2004,6,-0.023,0.051,0.059,0.043
2004,7,0.002,0.051,0.059,0.043
2004,8,-0.027,0.051,0.06,0.043
2004,9,0.02,0.052,0.06,0.044
2004,10,-0.023,0.052,0.06,0.044
2004,11,0,0.052,0.06,0.044
2004,12,-0.033,0.053,0.061,0.044
2005,1,0.054,0.053,0.061,0.045
2005,2,0.104,0.053,0.061,0.045
2005,3,0.01,0.053,0.061,0.045
2005,4,0.063,0.054,0.062,0.045
2005,5,0.054,0.054,0.062,0.046
2005,6,0.064,0.054,0.062,0.046
2005,7,0.04,0.054,0.063,0.046
2005,8,0.037,0.055,0.063,0.046
2005,9,0.113,0.055,0.063,0.047
2005,10,0.042,0.055,0.063,0.047
2005,11,-0.06,0.055,0.064,0.047
2005,12,-0.047,0.056,0.064,0.047
2006,1,-0.031,0.056,0.064,0.048
2006,2,-0.03,0.056,0.065,0.048
2006,3,0.045,0.057,0.065,0.048
2006,4,0.071,0.057,0.065,0.048
2006,5,0.076,0.057,0.065,0.049
2006,6,-0.031,0.057,0.066,0.049
2006,7,0.017,0.058,0.066,0.049
2006,8,0.022,0.058,0.066,0.05
2006,9,0.006,0.058,0.066,0.05
2006,10,0.024,0.058,0.067,0.05
2006,11,0,0.059,0.067,0.05
2006,12,0.017,0.059,0.067,0.051
2007,1,0.036,0.059,0.068,0.051
2007,2,0.014,0.059,0.068,0.051
2007,3,0.037,0.06,0.068,0.051
2007,4,0.047,0.06,0.068,0.052
2007,5,0.177,0.06,0.069,0.052
2007,6,0.107,0.061,0.069,0.052
